"nflId","height","weight","birthDate","collegeName","Position","displayName"
41276,"6-6",259,"1990-12-22","Stanford","DE","Trent Murphy"
43638,"6-3",292,"1992-10-23","Ferris State","DT","Justin Zimmer"
44976,"6-0",223,"1994-07-28","Boston College","OLB","Matt Milano"
45590,"6-0",245,"1994-12-27","San Diego State","ILB","Calvin Munson"
46190,"5-11",192,"1996-07-27","Weber State","CB","Taron Johnson"
37234,"6-6",265,"1987-11-21","Marshall","TE","Lee Smith"
40020,"6-4",320,"1991-07-10","Kent State","G","Brian Winters"
42370,"6-0",205,"1992-09-26","Connecticut","CB","Byron Jones"
42445,"6-6",330,"1992-08-31","Oklahoma","T","Daryl Williams"
42471,"6-4",323,"1992-02-10","Miami","G","Jon Feliciano"
44875,"6-5",320,"1994-04-26","Temple","T","Dion Dawkins"
46165,"6-3",307,"1996-01-25","Stanford","DT","Harrison Phillips"
46689,"6-6",318,"1994-10-05","Iowa","G","Ike Boettger"
48512,"6-4",300,"1997-02-14","Penn State","C","Ryan Bates"
52464,"6-7",310,NA,"Alabama","NT","Raekwon Davis"
52596,"5-10",185,"1997-02-14","Georgia Southern","K","Tyler Bass"
45186,"5-10",190,"1995-02-28","Georgia Southern","RB","Matt Breida"
46695,"6-3",255,"1994-01-22","South Florida","DE","Mike Love"
47879,"6-4",254,"1996-11-14","Mississippi","TE","Dawson Knox"
52562,"6-5",280,"1996-09-10","North Carolina","DE","Jason Strowbridge"
38470,"6-1",234,"1988-02-11","North Texas","ILB","Craig Robertson"
39008,"6-1",230,"1990-09-02","Wagner","OLB","Julian Stanford"
43689,"5-11",184,"1994-07-07","Georgia State","K","Wil Lutz"
43942,"6-1",180,"1993-02-08","Colorado","CB","Ken Crawley"
44123,"6-2",215,"1993-03-25","Concordia, Minn","WR","Brandon Zylstra"
44965,"5-10",185,"1994-10-09","Miami","CB","Corn Elder"
45005,"6-2",255,"1994-05-17","West Georgia","FB","Alex Armah"
45594,"6-4",255,"1993-12-15","Temple","TE","Colin Thompson"
45648,"6-1",200,"1994-02-07","Illinois","CB","Justin Hardee"
46170,"6-3",260,"1996-06-06","Indiana","TE","Ian Thomas"
46273,"5-11",185,"1994-07-23","Virginia State","RB","Trenton Cannon"
46378,"6-0",202,"1996-01-18","Mississippi State","SS","J.T. Gray"
46686,"5-9",190,"1996-01-06","Penn State","CB","Grant Haley"
48027,"6-3",240,"1995-06-10","Idaho","OLB","Kaden Elliss"
48072,"6-3",220,"1993-05-20","Utah","OLB","Chase Hansen"
48554,"6-1",225,"1996-11-16","Michigan State","LB","Andrew Dowell"
50756,"6-2",202,"1999-01-08","West Virginia","FS","Kenny Robinson"
52482,"6-3",235,"1996-12-30","Wisconsin","OLB","Zack Baun"
52629,"6-2",184,"1998-06-04","Florida International","CB","Stantley Thomas-Oliver"
52642,"6-1",232,"1996-08-08","Baylor","OLB","Clay Johnston"
52852,"5-11",211,"1997-08-05","Mississippi","FS","Myles Hartsfield"
52942,"6-4",231,"1996-09-13","Oregon","WR","Juwan Johnson"
33557,"6-2",235,"1986-01-20","Notre Dame","LS","J.J. Jansen"
41937,"6-0",230,"1990-09-21","Florida Atlantic","MLB","Adarius Taylor"
43948,"5-7",168,"1992-10-24","Northern Illinois","WR","Tommylee Lewis"
46230,"6-0",225,"1995-01-14","Maryland","OLB","Jermaine Carter"
53146,"6-5",190,"1997-04-07","South Carolina","P","Joseph Charlton"
34615,"6-4",235,"1986-03-08","Southern Methodist","P","Thomas Morstead"
41357,"6-1",205,"1992-06-25","North Carolina","FS","Tre Boston"
41532,"6-5",310,"1991-12-17","North Carolina","G","James Hurst"
42331,"6-6",265,"1992-04-13","No College","DE","Efe Obada"
42356,"6-7",316,"1993-11-04","Stanford","G","Andrus Peat"
42368,"6-0",230,"1994-04-21","Washington","OLB","Shaq Thompson"
42796,"6-3",303,"1992-06-16","Harvard","G","Nick Easton"
44062,"6-3",255,"1993-01-10","Southern Methodist","LS","Zach Wood"
44075,"6-4",240,"1994-03-04","Air Force","TE","Garrett Griffin"
44844,"6-6",314,"1994-04-22","Wisconsin","T","Ryan Ramczyk"
44911,"6-2",209,"1995-08-29","West Virginia","CB","Rasul Douglas"
46124,"5-10",180,"1995-11-08","Louisiana State","CB","Donte Jackson"
48538,"6-4",335,"1997-09-10","Villanova","T","Ethan Greenidge"
52415,"6-5",318,"1998-04-15","Auburn","DT","Derrick Brown"
52432,"6-3",319,"1999-06-14","Michigan","G","Cesar Ruiz"
52446,"6-5",264,"1998-02-26","Penn State","DE","Yetur Gross-Matos"
52472,"6-3",212,"1998-02-26","Southern Illinois","FS","Jeremy Chinn"
52513,"6-6",253,"1997-02-05","Dayton","TE","Adam Trautman"
52592,"6-1",333,NA,"Baylor","DT","Bravvion Roy"
43406,"5-11",207,"1995-03-07","South Carolina","WR","Pharoh Cooper"
44888,"6-3",240,"1994-09-22","Florida","ILB","Alex Anzalone"
45244,"6-2",221,"1990-08-23","Brigham Young","QB","Taysom Hill"
52939,"6-3",210,"1996-02-02","Temple","SS","Sam Franklin"
34465,"6-0",204,"1987-12-20","Ohio State","SS","Malcolm Jenkins"
37097,"6-4",287,"1989-07-10","California","DE","Cameron Jordan"
41324,"6-6",301,"1990-11-15","Michigan","G","Michael Schofield"
41707,"6-4",325,"1991-07-08","Utah State","C","Tyler Larsen"
41919,"6-2",334,"1990-08-29","Delaware","DT","Zach Kerr"
42302,"6-6",255,"1992-04-10","Canisius","TE","Chris Manhertz"
42765,"6-4",320,"1992-07-22","Minn. State-Mankato","G","Chris Reed"
43409,"6-4",300,"1992-11-13","Manitoba, Can.","DT","David Onyemata"
44876,"6-5",325,"1994-03-18","Western Michigan","T","Taylor Moton"
44915,"6-4",270,"1994-12-05","Florida Atlantic","DE","Trey Hendrickson"
46083,"6-6",265,"1996-09-04","Texas-San Antonio","DE","Marcus Davenport"
48337,"5-11",213,"1996-04-10","Virginia Tech","K","Joey Slye"
48537,"6-5",261,"1996-12-18","Wyoming","DE","Carl Granderson"
48544,"6-3",300,"1995-10-20","Tennessee","DT","Shy Tuttle"
48776,"6-7",325,"1997-03-17","Dartmouth","T","Matt Kaskey"
45275,"6-1",195,"1993-12-25","Northwestern","WR","Austin Carr"
46205,"6-2",235,"1993-12-16","Mississippi","DE","Marquis Haynes"
43407,"6-0",212,"1993-08-04","North Carolina State","SS","Juston Burris"
46743,"6-3",265,"1995-04-06","Purdue","DE","Austin Larkin"
42437,"6-0",216,"1993-01-22","Stanford","RB","Ty Montgomery"
32386,"6-1",207,"1984-09-03","Colorado","K","Mason Crosby"
39952,"6-5",235,"1990-10-04","Louisiana State","OLB","Barkevious Mingo"
39975,"6-2",238,"1991-03-17","Tennessee","WR","Cordarrelle Patterson"
40615,"6-7",230,"1991-07-29","Wisconsin-Milwaukee","TE","Demetrius Harris"
42869,"6-1",254,"1993-06-27","Stanford","OLB","James Vaughters"
43357,"5-11",186,"1993-12-28","Mississippi State","SS","Will Redmond"
43474,"6-0",202,"1993-04-13","William &amp; Mary","FS","DeAndre Houston-Carson"
44009,"6-3",240,"1993-08-28","Pittsburgh","TE","J.P. Holtz"
46157,"6-3",233,"1995-03-21","Vanderbilt","ILB","Oren Burks"
46184,"6-1",226,"1995-10-12","Western Kentucky","ILB","Joel Iyiegbuniwe"
46293,"6-2",221,"1994-09-11","Georgia","WR","Javon Wims"
46781,"6-2",237,"1995-12-27","Oregon State","RB","Ryan Nall"
46968,"6-1",236,"1996-07-01","Maryland","ILB","Josh Woods"
47968,"6-0",196,"1994-09-18","Toledo","CB","Ka'dar Hollman"
48009,"6-1",240,"1995-12-31","Texas Christian","ILB","Ty Summers"
48182,"6-3",236,"1995-09-07","Arkansas","OLB","Randy Ramsey"
48624,"6-2",216,"1995-12-21","Ferris State","WR","Malik Taylor"
52451,"6-6",258,"1999-03-10","Notre Dame","TE","Cole Kmet"
52583,"6-3",245,"1998-06-17","Minnesota","LB","Kamal Martin"
52644,"6-2",206,"1997-09-11","Texas Christian","FS","Vernon Scott"
52864,"5-11",204,"1997-01-03","Baylor","DB","Henry Black"
53172,"6-3",235,"1997-06-03","Indiana State","TE","Dominique Dafney"
37784,"6-3",228,"1988-02-11","Utah State","LS","Patrick Scales"
41300,"6-2",235,"1992-08-31","Iowa","OLB","Christian Kirksey"
41363,"6-7",300,"1991-05-05","Virginia","DT","Brent Urban"
41420,"6-4",212,"1991-02-22","Miami","P","Pat O'Donnell"
41475,"6-3",305,"1991-10-09","Boise State","T","Charles Leno"
41991,"5-8",160,"1991-11-18","Tulane","K","Cairo Santos"
43320,"6-5",325,"1994-06-02","Texas A&amp;M","G","Germain Ifedi"
43337,"6-6",301,"1994-05-17","Indiana","T","Jason Spriggs"
43426,"6-6",296,"1994-06-09","Northwestern","DE","Dean Lowry"
43769,"6-3",322,"1994-06-24","Texas-San Antonio","DT","Brian Price"
45505,"6-5",326,"1994-11-06","Old Dominion","T","Rashaad Coward"
46438,"6-3",315,"1994-11-04","Northwestern","NT","Tyler Lancaster"
46652,"5-11",189,"1996-08-07","Georgia State","CB","Chandon Sullivan"
47795,"6-5",277,"1997-12-03","Michigan","OLB","Rashan Gary"
48158,"6-5",314,"1995-09-08","Notre Dame","G","Alex Bars"
48159,"6-2",311,"1996-08-13","Notre Dame","C","Sam Mustipher"
52634,"6-5",300,"1996-01-30","Colorado","G","Arlington Hambright"
35583,"5-11",203,"1987-12-19","Northwestern","SS","Sherrick McManis"
44947,"6-0",213,"1995-04-03","Brigham Young","RB","Jamaal Williams"
47978,"5-11",185,"1995-12-10","Central Michigan","CB","Xavier Crawford"
52470,"6-1",250,"1998-05-02","Boston College","RB","A.J. Dillon"
52563,"6-4",268,"1997-06-13","Tulsa","OLB","Trevis Gipson"
53091,"5-11",208,"1996-05-17","Oregon State","RB","Artavis Pierce"
38718,"6-0",239,"1990-03-24","Kentucky","ILB","Danny Trevathan"
40030,"6-3",327,"1989-07-11","Georgia","NT","John Jenkins"
41240,"5-11",194,"1992-02-16","Virginia Tech","CB","Kyle Fuller"
42378,"6-3",280,"1994-01-25","Florida State","DT","Mario Edwards"
44068,"6-3",313,"1993-07-30","Duke","G","Lucas Patrick"
45382,"6-6",329,"1994-03-09","Michigan","G","Ben Braden"
45635,"6-5",237,"1994-04-30","Indiana State","TE","Robert Tonyan"
46214,"6-3",313,"1996-09-14","Delaware","NT","Bilal Nichols"
46241,"6-6",208,"1995-10-30","Alabama","P","J.K. Scott"
46308,"6-3",240,"1994-05-21","Mississippi State","LS","Hunter Bradley"
47827,"6-5",310,"1995-12-26","Mississippi State","G","Elgton Jenkins"
47988,"5-8",183,"1996-10-08","Kansas State","CB","Duke Shelley"
48181,"6-7",314,"1996-01-02","Virginia Tech","T","Yosuah Nijman"
52600,"6-5",321,"1997-08-08","Michigan","G","Jon Runyan"
42485,"6-0",214,"1993-04-29","Penn State","FS","Adrian Amos"
42794,"5-8",190,"1993-04-10","Sacramento State","WR","DeAndre Carter"
52571,"5-11",190,"1997-12-11","Georgia Southern","CB","Kindle Vildor"
52863,"6-1",235,"1998-04-02","UCLA","ILB","Krys Barnes"
41231,"6-3",269,"1991-02-22","Buffalo","OLB","Khalil Mack"
44925,"6-0",202,"1993-12-10","Alabama","SS","Eddie Jackson"
36060,"5-11",207,"1987-03-27","Tennessee State","SS","Anthony Levine"
38883,"6-0",232,"1990-01-03","Northern Iowa","OLB","L.J. Fort"
40032,"6-0",210,"1991-05-13","Georgia","SS","Shawn Williams"
42407,"5-11",215,"1993-01-21","Stanford","SS","Jordan Richards"
43396,"6-1",200,"1993-06-16","Cincinnati","WR","Chris Moore"
44859,"6-3",240,"1995-05-23","Houston","OLB","Tyus Bowser"
44927,"5-11",240,"1995-09-16","Oklahoma","RB","Samaje Perine"
45006,"6-3",242,"1995-01-27","Oklahoma","OLB","Jordan Evans"
45020,"5-10",200,"1994-07-27","Houston","FS","Brandon Wilson"
45217,"6-3",248,"1995-09-05","Nebraska","TE","Cethan Carter"
45268,"6-3",311,"1994-05-27","Maine","FB","Patrick Ricard"
46123,"6-1",200,"1997-02-26","Wake Forest","FS","Jessie Bates"
46958,"6-2",230,"1995-07-23","North Dakota State","OLB","Chris Board"
47855,"6-2",245,"1996-05-21","North Carolina State","OLB","Germaine Pratt"
47876,"6-4",220,"1996-10-12","Notre Dame","WR","Miles Boykin"
47896,"5-10",200,"1997-11-14","Oklahoma State","RB","Justice Hill"
47953,"5-9",214,"1996-11-15","Oklahoma","K","Austin Seibert"
48530,"6-0",205,"1996-09-07","Nebraska","WR","Stanley Morgan"
52506,"6-3",245,"1998-03-05","Ohio State","OLB","Malik Harrison"
52515,"6-2",215,"1997-09-21","Appalachian State","OLB","Akeem Davis-Gaither"
52623,"6-1",240,"1997-03-07","Purdue","ILB","Markus Bailey"
53059,"6-3",239,"1998-05-24","Iowa","LB","Kristian Welch"
33131,"6-8",300,"1986-09-01","Miami","DT","Calais Campbell"
36086,"6-4",233,"1986-04-26","Tennessee","LS","Morgan Cox"
37778,"6-1",235,"1989-08-24","Auburn","ILB","Josh Bynes"
39470,"6-1",183,"1989-11-21","Texas","K","Justin Tucker"
39957,"6-5",342,"1991-03-13","Alabama","G","D.J. Fluker"
40001,"6-8",295,"1987-07-14","Southern Methodist","DT","Margus Hunt"
42559,"6-2",305,"1993-10-16","Rice","NT","Christian Covington"
42721,"6-6",263,"1992-04-22","Texas-El Paso","TE","Eric Tomlinson"
42744,"6-2",309,"1992-01-18","Northern Iowa","DT","Xavier Williams"
43350,"5-11",205,"1994-12-12","Ohio State","SS","Vonn Bell"
43446,"6-0",203,"1993-09-18","Southern Utah","CB","LeShaun Sims"
43695,"6-3",313,"1993-02-17","Duke","C","Matt Skura"
46146,"6-5",265,"1995-06-29","Ohio State","DE","Sam Hubbard"
46152,"6-8",345,"1996-05-02","Oklahoma","T","Orlando Brown"
46242,"6-1",205,"1995-02-14","Florida","P","Johnny Townsend"
46267,"6-3",320,"1997-01-03","Tennessee","DT","Reginald McKenzie"
46284,"6-5",317,"1994-11-24","Alabama","G","Bradley Bozeman"
46724,"6-0",198,"1995-07-13","Alabama","CB","Tony Brown"
47906,"6-4",310,"1996-10-29","Oklahoma","G","Ben Powers"
52551,"6-4",325,"1998-02-20","Michigan","G","Ben Bredeson"
45064,"6-5",252,"1993-11-04","Buffalo","TE","Mason Schreck"
46259,"6-1",210,"1997-04-21","Texas","FS","DeShon Elliott"
48630,"6-0",192,"1996-09-05","North Texas","DB","Nate Brooks"
52555,"6-4",265,"1998-04-28","Notre Dame","DE","Khalid Kareem"
32436,"6-5",250,"1984-07-10","Rutgers","LS","Clark Harris"
34593,"6-1",211,"1985-07-16","Cincinnati","P","Kevin Huber"
52500,"5-11",210,"1997-09-12","Texas","WR","Devin Duvernay"
38566,"6-5",285,"1990-02-24","Cincinnati","DE","Derek Wolfe"
40042,"6-1",336,"1989-02-21","Missouri Southern","NT","Brandon Williams"
43435,"6-3",261,"1992-08-15","Grand Valley State","OLB","Matt Judon"
47868,"6-5",275,"1995-12-14","Louisiana Tech","OLB","Jaylon Ferguson"
52514,"6-5",345,"1997-01-29","Mississippi State","G","Tyre Phillips"
43663,"6-0",195,"1992-11-06","Wisconsin","WR","Alex Erickson"
44999,"6-0",205,"1995-04-19","Virginia Tech","SS","Chuck Clark"
47965,"5-8",206,"1997-10-18","Texas A&amp;M","RB","Trayveon Williams"
53086,"6-3",220,NA,NA,"LB","Keandre Jones"
40003,"6-4",267,"1990-06-13","Rice","TE","Vance McDonald"
40476,"5-11",200,"1990-12-25","Towson","SS","Jordan Dangerfield"
41590,"6-3",240,"1991-11-11","Toledo","OLB","Jayrone Elliott"
41688,"6-0",190,"1992-02-19","Auburn","K","Cody Parkey"
43347,"6-1",202,"1993-10-23","Maryland","FS","Sean Davis"
43465,"6-1",238,"1993-05-23","Nebraska","FB","Andy Janovich"
43487,"6-2",234,"1992-11-07","Wisconsin","FB","Derek Watt"
45045,"6-2",229,"1996-02-08","Kansas State","OLB","Elijah Lee"
46122,"5-11",205,"1995-09-16","North Carolina","CB","M.J. Stewart"
46217,"6-2",215,"1996-08-07","Penn State","FS","Marcus Allen"
46234,"6-0",225,"1996-07-20","North Carolina State","RB","Jaylen Samuels"
46256,"5-9",190,"1996-10-15","Clemson","WR","Ray-Ray McCloud"
46457,"6-1",248,"1997-09-12","Toledo","OLB","Olasunkanmi Adeniyi"
46543,"6-4",280,"1995-09-19","Oregon","DE","Henry Mondeaux"
46672,"5-10",205,"1996-03-11","Ferris State","CB","Tavierre Thomas"
46684,"6-1",224,"1996-08-14","Chattanooga","ILB","Tae Davis"
46992,"6-2",205,"1995-01-03","Prairie View","WR","Khadarel Hodge"
47605,"5-10",208,"1996-02-27","South Florida","RB","D'Ernest Johnson"
47902,"6-0",196,"1996-11-06","Miami","FS","Sheldrick Redwine"
48136,"6-4",240,"1996-12-12","Princeton","TE","Stephen Carlson"
52457,"6-4",227,"1998-07-07","Notre Dame","WR","Chase Claypool"
53022,"6-0",210,"1996-12-25","Middle Tennessee","SS","Jovante Moffatt"
42333,"6-5",195,"1991-03-18","Eastern Kentucky","P","Jordan Berry"
43606,"6-4",245,"1992-08-20","Portland State","LS","Kameron Canaday"
47866,"6-2",192,"1998-01-12","Michigan State","CB","Justin Layne"
47905,"5-10",223,"1998-02-27","Kentucky","RB","Benny Snell"
48539,"6-5",260,"1997-02-08","Southern California","DE","Porter Gustin"
52510,"6-4",242,"1997-08-07","North Carolina-Charlotte","OLB","Alex Highsmith"
52595,"6-2",208,"1999-02-19","Michigan","WR","Donovan Peoples-Jones"
52697,"6-2",185,"1996-09-16","Florida Atlantic","CB","James Pierre"
35449,"6-3",304,"1987-05-12","California","DE","Tyson Alualu"
38955,"6-4",248,"1990-05-16","Central Florida","LS","Charley Hughlett"
40070,"6-4",307,"1991-02-12","Cornell","C","J.C. Tretter"
40154,"6-1",233,"1989-12-27","Florida State","ILB","Vince Williams"
41264,"6-4",320,"1991-10-11","Nevada","G","Joel Bitonio"
41380,"6-1",246,"1992-03-09","Kentucky","ILB","Avery Williamson"
42441,"5-11",194,"1993-01-22","Oregon State","CB","Steven Nelson"
43297,"6-6",308,"1994-08-17","Michigan State","T","Jack Conklin"
44886,"6-5",300,"1993-08-25","Michigan","DE","Chris Wormley"
44906,"5-11",188,"1995-02-27","Tennessee","CB","Cameron Sutton"
45798,"6-5",307,"1994-08-28","Maryland","T","Michael Dunn"
46080,"6-1",207,"1996-11-17","Alabama","SS","Minkah Fitzpatrick"
46235,"6-4",315,"1994-11-21","Virginia Tech","G","Wyatt Teller"
47975,"6-3",295,"1996-08-24","Alabama","DE","Isaiah Buggs"
48139,"6-1",207,"1997-07-04","Arkansas-Pine Bluff","P","Jamie Gillan"
52418,"6-5",320,"1999-05-17","Alabama","T","Jedrick Wills"
53024,"6-9",294,"1997-04-29","South Carolina State","T","Alex Taylor"
43303,"5-10",200,"1993-09-08","West Virginia","SS","Karl Joseph"
46446,"6-4",250,"1995-04-26","Youngstown State","TE","Kevin Rader"
41275,"6-6",303,"1993-05-23","Notre Dame","DE","Stephon Tuitt"
46383,"6-0",227,"1996-05-10","Indiana","LB","Tegray Scales"
38554,"6-5",316,"1990-01-11","Stanford","G","David DeCastro"
38602,"6-2",262,"1990-10-07","Miami","DE","Olivier Vernon"
39959,"6-3",294,"1990-11-29","Missouri","DT","Sheldon Richardson"
41222,"6-9",320,"1988-09-22","Army","T","Alejandro Villanueva"
43412,"6-6",305,"1993-10-16","Louisiana State","T","Jerald Hawkins"
44813,"6-4",272,"1995-12-29","Texas A&amp;M","DE","Myles Garrett"
45007,"6-3",311,"1994-01-05","Oklahoma State","DT","Vincent Taylor"
46161,"6-6",320,"1997-08-08","Western Michigan","T","Chukwuma Okorafor"
47863,"6-1",238,"1995-06-08","Brigham Young","OLB","Sione Takitaki"
48329,"6-0",179,"03/22/1996","Central Florida","K","Matthew Wright"
52543,"6-4",321,"1996-09-18","Louisiana-Lafayette","G","Kevin Dotson"
46508,"6-2",215,"1994-09-20","Grambling","SS","Montrel Meander"
52606,"5-11",215,NA,"Maryland","DB","Antoine Brooks"
53018,"6-1",185,"1998-06-09","Oklahoma State","CB","A.J. Green"
43370,"6-4",254,"1994-10-29","Stanford","TE","Austin Hooper"
41947,"6-3",250,"1991-02-18","Florida State","OLB","Christian Jones"
42397,"5-9",203,"1993-06-13","Nebraska","RB","Ameer Abdullah"
43400,"6-2",222,"1993-05-10","Southern Utah","FS","Miles Killebrew"
43971,"5-11",235,"1993-07-22","Augustana, S.D.","FB","C.J. Ham"
44833,"6-1",245,"1994-11-16","Florida","MLB","Jarrad Davis"
44909,"6-1",200,"1993-11-19","Clemson","CB","Cordrea Tankersley"
44937,"6-0",233,"1995-01-31","Tennessee","OLB","Jalen Reeves-Maybin"
44978,"5-10",190,"1995-04-03","San Diego","WR","Jamal Agnew"
45223,"6-0",235,"1994-01-05","Illinois","ILB","Hardy Nickerson"
46151,"6-1",210,"1995-02-01","Louisiana-Lafayette","FS","Tracy Walker"
46226,"6-3",254,"1995-07-30","Central Michigan","TE","Tyler Conklin"
46424,"6-1",235,"1996-03-17","Penn State","MLB","Jason Cabinda"
46823,"6-0",196,"1995-08-04","Southeast Missouri","CB","Mike Ford"
47864,"6-1",207,"1995-12-19","Boston College","SS","Will Harris"
47926,"6-2",242,"1995-10-03","Wisconsin","OLB","Ryan Connelly"
48030,"6-0",203,"1997-03-17","Colorado State","WR","Olabisi Johnson"
48122,"6-4",245,"1996-08-19","Alabama","TE","Hale Hentges"
48258,"6-2",224,"1996-09-01","Rice","P","Jack Fox"
48454,"5-11",195,"1995-12-15","Mississippi","FS","C.J. Moore"
52613,"6-0",210,"1998-01-21","Michigan","DB","Josh Metellus"
52878,"6-3",202,"1997-02-25","Penn State","WR","Dan Chisena"
52886,"6-3",225,"1997-02-14","Baylor","LB","Blake Lynch"
34723,"6-3",210,"1985-03-20","Tennessee","P","Britton Colquitt"
39750,"6-2",230,"07/28/1987","Rutgers","LS","Andrew DePaola"
42827,"5-11",190,"1993-03-27","Tennessee","CB","Justin Coleman"
43600,"6-3",259,"1993-04-24","Wyoming","DE","Eddie Yarbrough"
43775,"6-4",263,"1995-06-17","Notre Dame","DE","Romeo Okwara"
46461,"5-10",205,"1995-07-30","Cincinnati","RB","Mike Boone"
47900,"6-6",261,"1996-11-12","Clemson","DE","Austin Bryant"
29468,"6-4",258,"1981-08-17","Texas A&amp;M","LS","Don Muhlbach"
46534,"5-10",185,"1994-06-01","Northern Illinois","WR","Chad Beebe"
47826,"6-2",250,"1996-09-28","Hawaii","MLB","Jahlani Tavai"
48036,"6-3",252,"1995-10-09","Oklahoma State","OLB","Jordan Brailford"
52577,"6-0",192,"1998-11-12","Temple","CB","Harrison Hand"
31446,"5-10",201,"1984-08-10","Central Florida","K","Matt Prater"
38559,"6-2",214,"1989-02-02","Notre Dame","SS","Harrison Smith"
40089,"6-5",315,"1991-06-05","Virginia","G","Oday Aboushi"
41449,"6-5",310,"1991-02-25","Connecticut","NT","Shamar Stephen"
42138,"6-1",230,"1992-05-17","Sacramento State","ILB","Todd Davis"
42503,"6-7",250,"1994-06-04","Penn State","TE","Jesse James"
42830,"6-1",202,"1991-10-09","Virginia","FS","Anthony Harris"
43453,"6-6",320,"1993-06-16","Texas Christian","T","Halapoulivaati Vaitai"
44922,"6-3",316,"1994-07-12","Iowa","DT","Jaleel Johnson"
45215,"6-1",230,"1994-09-26","Cincinnati","OLB","Eric Wilson"
45721,"6-9",325,"1994-09-20","Arkansas","T","Dan Skipper"
46679,"6-2",302,"1996-09-16","Southern Methodist","G","Evan Brown"
47973,"6-5",295,"1996-07-22","Arkansas","NT","Armon Watts"
48455,"6-7",299,"1995-12-19","Iowa","T","Matt Nelson"
52439,"6-0",183,"1996-12-12","Texas Christian","CB","Jeff Gladney"
52483,"6-4",305,"1997-02-05","Ohio State","G","Jonah Jackson"
52525,"6-5",260,"1997-10-31","South Carolina","DE","D.J. Wonnum"
38134,"6-0",190,"1988-01-26","Oklahoma State","K","Dan Bailey"
40039,"6-1",205,"1991-01-24","Rutgers","SS","Duron Harmon"
40171,"6-4",309,"1990-02-21","Samford","DT","Nicholas Williams"
40551,"6-2",315,"1991-07-29","Regina, Can.","C","Brett Jones"
